label,n_micro,n_ctrl,mean_micro,mean_ctrl,d_obs,t_welch,df_welch,p_welch,bf10,bf01,bf_interp,sesoi_d,bound_raw,df_tost,p_tost_lower,p_tost_upper,p_tost_max,tost_equiv
rank-transformed ΔIR,205,128,174.51707317073172,154.9609375,0.20382637656491734,1.9332486625496095,320.6418431522916,0.054085712755931076,0.7374451972329761,1.356032968622178,null (anecdotal),0.37,35.4996753615261,320.6418431522916,5.2249367472419155e-08,0.057992056573171316,0.057992056573171316,False
raw ΔIR,205,128,0.013773610513579063,0.01096807123564543,0.2164347630394102,2.0895406743058147,328.142765393891,0.03742884680404503,0.9937252181105454,1.006314403393511,null (anecdotal),0.37,0.004796131260330061,328.142765393891,1.6373110555816286e-08,0.0695735172296291,0.0695735172296291,False
